ZIP_CODE,Composite_Metric
15001,0.48114368178023587
15003,0.1703107584457412
15004,0.005564994840046527
15005,0.14158847378684664
15006,0.005024384457453188
15007,0.01095037850680063
15009,0.224182588741487
15010,0.4154113381677893
15012,0.22720635444388823
15014,0.04916698295484648
15015,0.017936090634339933
15017,0.2415360019751629
15018,0.015335661034742237
15019,0.02254574181516966
15020,0.00738264330680814
15021,0.09675278913353855
15022,0.14939547146353974
15024,0.12984683030309538
15025,0.23827374493619213
15026,0.054980985729177916
15027,0.03516962178923563
15028,0.002552700821042599
15030,0.015677681458630573
15031,0.007563736993726033
15033,0.06643186872535826
15034,0.025850658589151917
15035,0.03199788649086759
15037,0.1520006068839233
15038,0.004819123208485205
15042,0.1207980363746863
15043,0.032565308909008495
15044,0.404402058276343
15045,0.06684560590566471
15046,0.038150518442514145
15047,0.003945037922349569
15049,0.015080876376462639
15050,0.03536038943618381
15051,0.006218048563769639
15052,0.04394563550018004
15053,0.001343103209448803
15054,0.0075605420368026225
15055,0.018156242207901824
15056,0.015194371669808915
15057,0.237281435244594
15059,0.059212743039256305
15060,0.012719561417381961
15061,0.17846652019034948
15062,0.10462609030601311
15063,0.16309328498735046
15064,0.003789325161174034
15065,0.1658253352550251
15066,0.18354020073799313
15067,0.03709363022624964
15068,0.5434270866697594
15071,0.17613983083017345
15072,0.0008874372316813534
15074,0.12185616120986491
15075,0.0006439485168653246
15076,0.012500646239212404
15077,0.003187428608528216
15078,0.00893658917702306
15081,0.0053551441948246695
15082,0.0026225506289217363
15083,0.01465886961870259
15084,0.14456519354406788
15085,0.1166914146997725
15086,0.008292617117045462
15087,0.0010267479001322515
15088,0.006112161319868582
15089,0.0979924280134612
15090,0.35102505996956956
15101,0.3814359084366804
15102,0.45005822852496685
15104,0.11876310928368627
15106,0.2953318973479172
15108,0.6267010596203868
15110,0.07195120315305281
15112,0.04417583850521531
15116,0.2045338909460123
15120,0.27471146443987965
15122,0.27847588513154864
15123,3.9240412105331905e-05
15126,0.09810341099337586
15129,0.15287054273098175
15131,0.12465505133297734
15132,0.28627524117978426
15133,0.0897049545842962
15135,0.07637595808012797
15136,0.33245195982314196
15137,0.14956179685102142
15139,0.09933706850629813
15140,0.04394436611466869
15142,0.02118238867799403
15143,0.3122601856439494
15144,0.06040224390221845
15145,0.09936320850482987
15146,0.42982388655943904
15147,0.24910113769014156
15148,0.03551713509539981
15201,0.21343260107071238
15202,0.3059356775113707
15203,0.17201824897841098
15204,0.1222023171889883
15205,0.35137173141050887
15206,0.45012269770422997
15207,0.15058988183000038
15208,0.1290261632930225
15209,0.17958256889003202
15210,0.38540863577665746
15211,0.17134791926198323
15212,0.4339911437608269
15213,0.46577594564031605
15214,0.21656907610356071
15215,0.1845685971633534
15216,0.32764208528735717
15217,0.3925639218000818
15218,0.20695658879983608
15219,0.15747117771300895
15220,0.2722972195003078
15221,0.44723873634115713
15222,0.09648091498992148
15223,0.10615428337451174
15224,0.17361764011973999
15225,0.014726538287630228
15226,0.20937874876081053
15227,0.43104943293953824
15228,0.25713630715179786
15229,0.22578091267590156
15232,0.19994646592535845
15233,0.045004666258205935
15234,0.20811483792258015
15235,0.5156776107419337
15236,0.4634420238971175
