ZIP_CODE,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,Sex and Age - Total population - 18 years and over,Sex and Age - Total population - 18 years and over - Female,Sex and Age - Total population - 21 years and over,Employment Status - Females 16 years and over,Employment Status - Population 16 years and over,Sex and Age - Total population - 16 years and over,Health Insurance Coverage - Civilian noninstitutionalized population,Sex and Age - Total population - Female
18066,3709,4766.0,2368.0,4586.0,2388,4834,4834.0,5744,2896.0
18067,11466,15497.0,7774.0,15195.0,7939,15791,15791.0,19151,9478.0
18069,4832,6282.0,3118.0,6044.0,3200,6576,6576.0,8037,3956.0
18070,126,264.0,146.0,264.0,146,275,275.0,326,158.0
18071,6390,8839.0,4537.0,8549.0,4708,9088,9088.0,10730,5587.0
18072,4208,5782.0,2979.0,5458.0,3010,5823,5823.0,6878,3496.0
18073,6362,8515.0,4173.0,8105.0,4291,8773,8773.0,10766,5430.0
18074,3171,4276.0,2050.0,4119.0,2111,4393,4393.0,5375,2574.0
18076,1737,2433.0,1239.0,2276.0,1274,2553,2553.0,3067,1522.0
18077,1380,1955.0,989.0,1922.0,1002,1993,1993.0,2273,1107.0
18078,4331,5859.0,3012.0,5525.0,3197,6186,6186.0,7546,3874.0
18079,373,418.0,190.0,399.0,190,418,418.0,599,236.0
18080,6399,8676.0,4056.0,8321.0,4116,8820,8820.0,10977,5215.0
18081,50,66.0,41.0,66.0,41,66,66.0,162,91.0
18083,442,513.0,263.0,462.0,302,557,557.0,674,369.0
18085,493,645.0,307.0,601.0,319,680,680.0,822,383.0
18086,310,396.0,239.0,396.0,239,426,426.0,518,322.0
18087,559,662.0,398.0,570.0,407,678,678.0,747,439.0
18088,4772,6539.0,3368.0,6303.0,3447,6770,6770.0,8139,4095.0
18091,3267,4410.0,2326.0,4171.0,2518,4646,4646.0,5624,2927.0
18092,1813,2652.0,1236.0,2589.0,1254,2723,2723.0,3370,1457.0
18101,2994,4432.0,1727.0,4211.0,1741,4489,4489.0,4449,2346.0
18102,30101,35554.0,18997.0,33039.0,19928,37519,37519.0,51766,26507.0
18103,29444,38088.0,19435.0,36161.0,19913,39212,39212.0,48722,24495.0
18104,26340,36621.0,19745.0,33976.0,20411,37813,37813.0,44885,24468.0
18106,3717,5243.0,2835.0,5139.0,2835,5272,5272.0,6566,3567.0
18109,10154,13293.0,7036.0,12299.0,7201,13605,13605.0,17155,9203.0
18195,0,0.0,0.0,0.0,0,0,0.0,0,0.0
18201,18038,23416.0,11613.0,21894.0,12102,24458,24458.0,31023,15693.0
18202,7375,10641.0,5387.0,9917.0,5453,10859,10859.0,12978,6603.0
18210,4380,6043.0,3027.0,5917.0,3186,6262,6262.0,7391,3782.0
18211,483,800.0,377.0,762.0,377,833,833.0,987,454.0
18212,0,17.0,8.0,17.0,8,17,17.0,17,8.0
18214,868,1413.0,734.0,1398.0,756,1439,1439.0,1676,848.0
18216,585,918.0,515.0,882.0,525,941,941.0,1131,631.0
18218,1247,1677.0,897.0,1586.0,934,1751,1751.0,2171,1098.0
18219,635,938.0,436.0,902.0,440,951,951.0,1041,470.0
18220,172,224.0,86.0,218.0,86,224,224.0,281,116.0
18221,225,293.0,160.0,293.0,160,293,293.0,406,233.0
18222,5636,7898.0,3876.0,7242.0,3990,8192,8192.0,9631,4720.0
18223,55,55.0,29.0,55.0,29,55,55.0,55,29.0
18224,3661,5014.0,2623.0,4825.0,2780,5281,5281.0,6353,3264.0
18225,0,0.0,0.0,0.0,0,0,0.0,0,0.0
18229,5155,7362.0,3614.0,7139.0,3750,7597,7597.0,8950,4458.0
18230,81,122.0,48.0,88.0,48,122,122.0,150,66.0
18231,333,355.0,182.0,350.0,187,360,360.0,474,223.0
18232,2376,3154.0,1591.0,2966.0,1614,3239,3239.0,4148,2091.0
18234,205,453.0,280.0,453.0,280,453,453.0,453,280.0
18235,11716,15806.0,7965.0,15290.0,8216,16224,16224.0,19117,9644.0
18237,2116,2777.0,1318.0,2537.0,1376,2886,2886.0,3794,1906.0
18239,67,109.0,85.0,109.0,85,109,109.0,109,85.0
18240,1972,3107.0,1413.0,3000.0,1467,3225,3225.0,3571,1813.0
18241,161,375.0,246.0,375.0,246,393,393.0,401,246.0
18242,203,215.0,68.0,215.0,68,215,215.0,344,78.0
18244,234,279.0,157.0,279.0,162,287,287.0,359,206.0
18245,93,278.0,177.0,278.0,177,278,278.0,278,177.0
18246,201,223.0,131.0,223.0,131,241,241.0,334,162.0
18248,263,365.0,213.0,349.0,213,371,371.0,524,235.0
18249,2153,3075.0,1548.0,2995.0,1580,3147,3147.0,3836,1962.0
18250,1813,2409.0,1152.0,2303.0,1152,2409,2409.0,3055,1491.0
18252,6161,8711.0,4420.0,8132.0,4671,9085,9085.0,11140,5731.0
18254,547,740.0,397.0,677.0,417,813,813.0,1034,552.0
18255,2387,3409.0,1846.0,3310.0,1888,3509,3509.0,4056,2247.0
18256,114,155.0,86.0,155.0,86,155,155.0,172,86.0
18301,18378,23566.0,12580.0,21227.0,12871,24592,24592.0,29557,15278.0
18302,11145,14268.0,6928.0,13336.0,7125,14725,14725.0,17590,8680.0
18321,973,1438.0,790.0,1390.0,845,1493,1493.0,1743,1019.0
18322,1759,2278.0,1141.0,2205.0,1157,2294,2294.0,2712,1471.0
18323,43,80.0,21.0,80.0,21,80,80.0,80,21.0
