ZIP_CODE,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,Sex and Age - Total population - 18 years and over,Sex and Age - Total population - 18 years and over - Female,Sex and Age - Total population - 21 years and over,Employment Status - Females 16 years and over,Employment Status - Population 16 years and over,Sex and Age - Total population - 16 years and over,Health Insurance Coverage - Civilian noninstitutionalized population,Sex and Age - Total population - Female
18966,20565,29710.0,15174.0,28670.0,15666,30537,30537.0,36485,18754.0
18969,9094,12347.0,6572.0,11959.0,6714,12602,12602.0,15437,8402.0
18970,459,593.0,240.0,580.0,252,620,620.0,692,278.0
18972,1963,2730.0,1441.0,2671.0,1458,2761,2761.0,3116,1662.0
18974,23462,34837.0,18616.0,33469.0,18964,35624,35624.0,42031,22526.0
18976,12299,17357.0,9086.0,16871.0,9467,17882,17882.0,21825,11745.0
18977,2423,3734.0,1828.0,3601.0,1892,3926,3926.0,4595,2239.0
18980,159,176.0,76.0,176.0,76,176,176.0,176,76.0
19001,10139,13150.0,7131.0,12578.0,7383,13647,13647.0,17507,9347.0
19002,17877,23948.0,12330.0,22982.0,12747,24827,24827.0,30538,15641.0
19003,8830,11250.0,6329.0,10679.0,6427,11436,11436.0,14146,7476.0
19004,4757,7066.0,3711.0,6992.0,3837,7299,7299.0,9938,5248.0
19006,12852,18498.0,9846.0,17697.0,10237,19288,19288.0,22946,12171.0
19007,13685,17537.0,9094.0,17007.0,9174,17930,17930.0,22064,11572.0
19008,11195,15965.0,8016.0,15456.0,8146,16419,16419.0,20130,10183.0
19009,613,918.0,521.0,767.0,526,958,958.0,1090,587.0
19010,12074,16750.0,9760.0,15144.0,9993,17348,17348.0,21210,12078.0
19012,3983,5334.0,2896.0,4969.0,2947,5487,5487.0,6842,3560.0
19013,19201,26095.0,13510.0,23881.0,13967,26801,26801.0,32630,17304.0
19014,12919,16856.0,9130.0,15550.0,9471,17450,17450.0,21035,11220.0
19015,9857,12563.0,6392.0,11874.0,6596,13101,13101.0,16663,8190.0
19017,147,218.0,120.0,218.0,130,228,228.0,241,137.0
19018,14602,18630.0,9694.0,17856.0,9952,19063,19063.0,23198,12031.0
19020,36137,46081.0,23425.0,44225.0,23923,47332,47332.0,56630,28357.0
19021,6299,7621.0,3801.0,7291.0,3889,7789,7789.0,9817,5000.0
19022,2296,3019.0,1666.0,2768.0,1715,3103,3103.0,3934,2004.0
19023,13279,16088.0,9239.0,15014.0,9523,16952,16952.0,22116,12318.0
19025,3482,4954.0,2474.0,4873.0,2520,5013,5013.0,6459,3283.0
19026,19555,24472.0,12974.0,23630.0,13303,24996,24996.0,31073,16237.0
19027,11500,15248.0,8169.0,14680.0,8462,15747,15747.0,19264,10051.0
19029,2518,3216.0,1507.0,3074.0,1582,3325,3325.0,3984,1989.0
19030,7833,10288.0,5214.0,9926.0,5324,10551,10551.0,12621,6349.0
19031,2397,3733.0,2260.0,3599.0,2332,3877,3877.0,4496,2721.0
19032,4117,4852.0,2577.0,4620.0,2610,4897,4897.0,6732,3879.0
19033,4817,5857.0,3053.0,5743.0,3175,6021,6021.0,7674,3934.0
19034,3705,5329.0,2686.0,5218.0,2777,5528,5528.0,6636,3486.0
19035,2031,2884.0,1520.0,2817.0,1600,3005,3005.0,3910,2110.0
19036,8170,10316.0,5356.0,10038.0,5409,10563,10563.0,13082,6703.0
19038,19180,25193.0,13597.0,23656.0,13903,25920,25920.0,32198,17537.0
19040,12835,17187.0,8622.0,16575.0,8951,17726,17726.0,21698,10925.0
19041,3533,5549.0,3060.0,4960.0,3150,5696,5696.0,6406,3513.0
19043,1874,2178.0,1070.0,2020.0,1070,2178,2178.0,2535,1343.0
19044,10561,12794.0,6381.0,12304.0,6559,13222,13222.0,16996,8467.0
19046,10379,14929.0,7715.0,14315.0,7828,15312,15312.0,18507,9386.0
19047,19936,27743.0,14442.0,26413.0,14810,28455,28455.0,32879,17556.0
19050,18105,23472.0,12462.0,22597.0,12742,23897,23897.0,28354,15108.0
19052,370,602.0,340.0,602.0,340,602,602.0,602,340.0
19053,17246,22621.0,11869.0,21872.0,12201,23151,23151.0,27718,14601.0
19054,11192,13938.0,6986.0,13409.0,7186,14307,14307.0,17857,8582.0
19055,8260,10393.0,5509.0,9993.0,5861,10937,10937.0,13766,7002.0
19056,9931,12444.0,6438.0,11863.0,6603,12984,12984.0,16013,8056.0
19057,11292,14171.0,7183.0,13510.0,7523,14942,14942.0,17857,8996.0
19060,6538,8912.0,4296.0,8468.0,4491,9304,9304.0,11007,5256.0
19061,11903,15619.0,8285.0,15082.0,8523,16176,16176.0,20101,10333.0
19063,21543,30644.0,16548.0,29716.0,16879,31316,31316.0,36494,19843.0
19064,14353,19258.0,9821.0,18598.0,10101,19882,19882.0,24981,12699.0
19066,2719,4164.0,2113.0,3571.0,2201,4355,4355.0,5409,2593.0
19067,31304,41080.0,20393.0,39399.0,21069,42479,42479.0,52693,25927.0
19070,4263,5378.0,2847.0,5284.0,2881,5472,5472.0,6712,3529.0
19072,5858,7972.0,4097.0,7820.0,4246,8382,8382.0,10772,5374.0
19073,10813,15897.0,8498.0,15431.0,8819,16574,16574.0,20640,10742.0
19074,3929,4792.0,2412.0,4503.0,2583,5023,5023.0,5920,2856.0
19075,4647,5876.0,3028.0,5762.0,3108,6042,6042.0,7693,3943.0
19076,4246,5134.0,2446.0,5016.0,2505,5247,5247.0,6324,3289.0
19078,7039,8943.0,4774.0,8744.0,4921,9268,9268.0,11493,6169.0
19079,5413,6790.0,3868.0,6461.0,3988,7123,7123.0,9175,4737.0
19081,6153,8339.0,4592.0,7222.0,4696,8603,8603.0,10712,5636.0
19082,27835,32526.0,16917.0,30852.0,17459,33531,33531.0,43270,22384.0
19083,21082,27736.0,14201.0,26832.0,14705,28786,28786.0,36746,18757.0
19085,6396,8949.0,4709.0,4685.0,4820,9150,9150.0,10296,5412.0
19086,7420,9691.0,5063.0,9369.0,5175,10022,10022.0,12463,6595.0
19087,19824,25930.0,13138.0,23789.0,13571,26857,26857.0,33607,16682.0
19090,12160,15551.0,8064.0,14713.0,8262,15954,15954.0,19866,10425.0
19094,2815,3548.0,1706.0,3471.0,1744,3611,3611.0,4771,2379.0
19095,4370,6455.0,3262.0,6100.0,3397,6692,6692.0,7341,3770.0
19096,7556,11119.0,5876.0,10900.0,6042,11432,11432.0,14947,7915.0
19102,4305,5013.0,2573.0,4842.0,2573,5017,5017.0,5108,2634.0
19103,17992,23790.0,13017.0,23544.0,13049,23858,23858.0,25101,13930.0
19104,36730,44487.0,24446.0,32313.0,24640,45257,45257.0,51486,28440.0
19106,9477,13393.0,6575.0,13380.0,6614,13440,13440.0,13045,6917.0
19107,12423,14194.0,7385.0,13614.0,7428,14249,14249.0,14930,7776.0
19108,77,77.0,20.0,77.0,20,77,77.0,77,20.0
19109,0,0.0,0.0,0.0,0,0,0.0,0,0.0
19111,39015,51192.0,27473.0,49534.0,28392,53342,53342.0,68148,36538.0
19112,0,0.0,0.0,0.0,0,0,0.0,0,0.0
19113,0,0.0,0.0,0.0,0,0,0.0,0,0.0
19114,19101,25295.0,13917.0,24723.0,14084,25767,25767.0,31699,17188.0
19115,19746,28875.0,15230.0,28216.0,15611,29404,29404.0,35391,19146.0
19116,19925,27015.0,13782.0,26504.0,14043,27571,27571.0,33022,16989.0
19118,6270,9125.0,5001.0,8541.0,5099,9262,9262.0,10568,5885.0
19119,17412,23514.0,13029.0,22650.0,13372,24189,24189.0,28588,15893.0
19120,42747,51490.0,28266.0,48917.0,29389,53605,53605.0,73881,39543.0
19121,22330,26790.0,15152.0,23822.0,15743,27687,27687.0,34671,18840.0
19122,14680,18463.0,9888.0,14305.0,10180,19116,19116.0,22038,11642.0
19123,13974,16056.0,7813.0,15726.0,7962,16369,16369.0,17808,8787.0
19124,41758,49437.0,25511.0,46710.0,26660,51564,51564.0,71338,36029.0
19125,19175,21365.0,10291.0,21106.0,10365,21499,21499.0,24865,11669.0
19126,11005,14423.0,7684.0,13768.0,7875,14944,14944.0,17664,9451.0
19127,4921,5221.0,2208.0,5126.0,2234,5248,5248.0,5517,2409.0
19128,27024,33492.0,17024.0,33027.0,17502,34245,34245.0,38385,19863.0
19129,7667,9861.0,5036.0,9239.0,5114,10036,10036.0,11140,5871.0
19130,22103,26366.0,14009.0,26105.0,14154,26652,26652.0,28988,15851.0
19131,26460,35028.0,19384.0,31743.0,19912,35933,35933.0,44073,24054.0
19132,19695,25305.0,14559.0,24374.0,14904,26076,26076.0,32711,18306.0
19133,16235,20011.0,11395.0,18398.0,11788,20874,20874.0,25818,14189.0
19134,35746,42117.0,22551.0,39779.0,23829,44271,44271.0,59552,31634.0
19135,21341,25254.0,13513.0,24017.0,13966,26259,26259.0,36304,19396.0
19136,21071,27767.0,13828.0,26572.0,14170,28928,28928.0,35161,18156.0
19137,5047,6364.0,3312.0,6140.0,3367,6552,6552.0,8470,4290.0
19138,19512,24994.0,13879.0,23953.0,14151,25866,25866.0,33175,17683.0
19139,27845,34344.0,19582.0,32887.0,20179,35536,35536.0,45042,25135.0
19140,31773,41587.0,21556.0,39038.0,22044,42551,42551.0,54344,27525.0
19141,19197,26156.0,15526.0,24689.0,16041,26960,26960.0,33563,19330.0
19142,18532,21452.0,11740.0,20206.0,12271,22499,22499.0,29970,15886.0
19143,40227,49865.0,28398.0,47235.0,28798,50622,50622.0,63565,35074.0
19144,29062,36379.0,20370.0,34002.0,20941,37532,37532.0,46101,25169.0
19145,28939,36173.0,19325.0,35162.0,19785,37071,37071.0,45033,23897.0
19146,29522,33806.0,17145.0,32953.0,17318,34197,34197.0,40811,20601.0
19147,27937,32940.0,17111.0,32545.0,17273,33304,33304.0,39269,20026.0
19148,32115,40138.0,19792.0,39395.0,20199,41139,41139.0,50857,25241.0
19149,36667,42785.0,21428.0,40910.0,22402,44731,44731.0,59899,29117.0
19150,13173,18762.0,10290.0,18337.0,10496,19052,19052.0,22760,12208.0
19151,19510,23974.0,12579.0,23074.0,12980,24670,24670.0,31802,16572.0
19152,20978,27725.0,13997.0,26564.0,14432,28760,28760.0,34735,17425.0
19153,7879,10481.0,6001.0,9880.0,6232,10827,10827.0,12810,7340.0
19154,20636,26456.0,13881.0,25895.0,14149,26962,26962.0,34629,17942.0
19301,3930,6015.0,3052.0,5947.0,3133,6156,6156.0,7378,3777.0
19310,1689,2064.0,1008.0,1918.0,1025,2170,2170.0,3163,1606.0
19311,6404,7779.0,3928.0,7225.0,4091,8113,8113.0,11001,5510.0
19312,6706,8776.0,4649.0,8386.0,5026,9413,9413.0,11736,6176.0
19316,8,21.0,7.0,21.0,7,21,21.0,21,7.0
19317,6265,8245.0,4415.0,7916.0,4601,8614,8614.0,10813,5622.0
19319,212,349.0,144.0,259.0,144,360,360.0,439,218.0
19320,33278,42339.0,21953.0,40728.0,22585,43910,43910.0,54339,28361.0
19330,3161,4165.0,2029.0,4004.0,2057,4335,4335.0,5453,2621.0
19333,4425,5823.0,2978.0,5666.0,3090,6011,6011.0,7917,4030.0
19335,30968,38963.0,20439.0,37403.0,21101,40479,40479.0,51083,26651.0
19341,11510,15163.0,7533.0,14913.0,7825,15715,15715.0,19950,9984.0
19342,10109,17126.0,8497.0,16384.0,8898,18169,18169.0,19310,10887.0
19343,4430,6106.0,2843.0,5774.0,2974,6399,6399.0,7697,3783.0
19344,6595,9532.0,4656.0,9251.0,4762,9779,9779.0,11859,5955.0
19345,360,657.0,571.0,304.0,571,657,657.0,474,571.0
19348,12465,17940.0,9214.0,17250.0,9579,18678,18678.0,22808,11903.0
19350,6188,8084.0,4152.0,7825.0,4391,8608,8608.0,10907,5638.0
19352,7193,8534.0,4428.0,6811.0,4586,8808,8808.0,11159,5756.0
19355,16948,21433.0,10974.0,20670.0,11421,22301,22301.0,28171,14612.0
19358,226,245.0,136.0,242.0,136,255,255.0,422,236.0
19362,3248,4269.0,2083.0,4095.0,2213,4481,4481.0,5624,2767.0
19363,9785,12656.0,6195.0,12181.0,6382,13193,13193.0,17426,8293.0
19365,4669,5744.0,2843.0,5503.0,2943,5898,5898.0,7556,3763.0
19367,50,50.0,30.0,50.0,30,56,56.0,71,30.0
19369,59,59.0,30.0,59.0,30,80,80.0,80,30.0
19372,1574,1961.0,992.0,1895.0,1018,2000,2000.0,2578,1124.0
19373,1092,1531.0,715.0,1424.0,724,1626,1626.0,1944,821.0
19374,424,589.0,304.0,536.0,304,589,589.0,663,316.0
19375,64,138.0,64.0,138.0,64,138,138.0,138,64.0
19380,29279,40624.0,21096.0,39234.0,21980,42049,42049.0,50244,26098.0
19382,31043,42409.0,21072.0,40036.0,21641,43779,43779.0,50370,25817.0
19383,3290,4546.0,2743.0,883.0,2756,4559,4559.0,4559,2756.0
19390,7042,9980.0,5385.0,9649.0,5450,10158,10158.0,12930,6708.0
19401,26471,32904.0,17053.0,31614.0,17438,33577,33577.0,42022,21742.0
19403,26430,36238.0,19075.0,35070.0,19631,37332,37332.0,43166,23063.0
19405,3327,3814.0,1761.0,3599.0,1798,3851,3851.0,4749,2233.0
19406,17988,22858.0,11583.0,22502.0,11786,23422,23422.0,28255,14231.0
19422,10473,15357.0,8015.0,14708.0,8304,15936,15936.0,19779,9991.0
19425,10107,11983.0,6117.0,11513.0,6521,12807,12807.0,17394,8740.0
19426,23409,34541.0,15531.0,32072.0,16297,36020,36020.0,37334,19560.0
19428,14668,17339.0,8612.0,17092.0,8658,17533,17533.0,20103,10120.0
19435,88,103.0,41.0,103.0,41,103,103.0,148,41.0
19436,189,614.0,413.0,614.0,413,614,614.0,559,413.0
19437,867,1020.0,535.0,903.0,535,1094,1094.0,1359,653.0
19438,14689,19270.0,9909.0,18635.0,10370,20164,20164.0,24694,12459.0
19440,12422,15949.0,7925.0,15240.0,8145,16406,16406.0,20101,10165.0
19442,0,0.0,0.0,0.0,0,0,0.0,0,0.0
19444,6192,8897.0,4764.0,8601.0,4850,9103,9103.0,11023,5863.0
19446,34016,48219.0,25070.0,46475.0,25811,49650,49650.0,59623,31188.0
19453,1036,1282.0,573.0,1282.0,573,1282,1282.0,1448,681.0
19454,16390,22182.0,11282.0,21364.0,11781,22860,22860.0,27578,14227.0
19456,103,122.0,70.0,122.0,70,122,122.0,166,114.0
19457,54,77.0,46.0,77.0,46,77,77.0,99,68.0
19460,26967,34132.0,16534.0,32729.0,17048,35076,35076.0,42659,20647.0
19462,9107,12364.0,6284.0,12023.0,6464,12717,12717.0,15715,8290.0
19464,29257,36906.0,19261.0,35246.0,19936,38504,38504.0,47779,24277.0
19465,11143,14525.0,7363.0,13997.0,7640,15009,15009.0,18497,9264.0
19468,16605,21033.0,11395.0,20303.0,11758,21707,21707.0,26353,14249.0
19472,37,79.0,27.0,79.0,27,79,79.0,79,27.0
19473,10504,12887.0,6349.0,12376.0,6869,13738,13738.0,17486,8702.0
19474,250,308.0,161.0,308.0,190,337,337.0,337,190.0
19475,7002,8784.0,3840.0,8519.0,4032,9185,9185.0,11322,5053.0
19477,0,39.0,26.0,39.0,26,39,39.0,39,26.0
19490,134,184.0,77.0,184.0,125,232,232.0,273,125.0
19492,176,577.0,374.0,577.0,374,577,577.0,534,382.0
19501,742,876.0,403.0,853.0,416,927,927.0,1178,578.0
19503,665,881.0,460.0,870.0,486,925,925.0,1154,554.0
19504,2862,4121.0,2083.0,3938.0,2170,4250,4250.0,4872,2505.0
19505,1760,2890.0,1365.0,2842.0,1372,2984,2984.0,3341,1563.0
19506,3978,5333.0,2697.0,5089.0,2796,5488,5488.0,6700,3491.0
19507,2178,2643.0,1348.0,2392.0,1428,2745,2745.0,3563,1932.0
19508,8939,11782.0,5798.0,11455.0,6002,12207,12207.0,15347,7502.0
19510,5594,6749.0,3057.0,6527.0,3173,6912,6912.0,8389,3956.0
19511,84,128.0,52.0,128.0,52,128,128.0,173,74.0
19512,9661,13510.0,6862.0,13111.0,7074,13935,13935.0,16481,8391.0
19516,100,149.0,61.0,149.0,61,149,149.0,180,76.0
19518,9321,12365.0,6150.0,11735.0,6418,12817,12817.0,16354,7992.0
19520,3387,5167.0,2875.0,5043.0,2935,5286,5286.0,6276,3408.0
19522,8326,11326.0,5786.0,10867.0,5969,11616,11616.0,14005,6992.0
19523,0,0.0,0.0,0.0,0,0,0.0,0,0.0
19525,9548,12117.0,6122.0,11591.0,6343,12552,12552.0,16812,8213.0
19526,6638,8963.0,4523.0,8633.0,4662,9235,9235.0,11056,5678.0
19529,1769,2744.0,1444.0,2604.0,1449,2821,2821.0,3507,1721.0
19530,10522,13446.0,6882.0,9861.0,6997,13601,13601.0,14982,7647.0
19533,3864,6828.0,2824.0,6618.0,2915,6951,6951.0,6185,3258.0
19534,954,1425.0,705.0,1405.0,719,1461,1461.0,1735,862.0
19535,40,40.0,21.0,40.0,21,40,40.0,61,42.0
19536,354,457.0,225.0,449.0,232,464,464.0,523,253.0
19538,74,81.0,35.0,74.0,35,81,81.0,81,35.0
19539,2615,3246.0,1611.0,3098.0,1631,3308,3308.0,4071,1998.0
19540,6685,8726.0,4515.0,8512.0,4672,9002,9002.0,11226,5594.0
19541,2784,3578.0,1876.0,3417.0,1949,3764,3764.0,4359,2285.0
19543,3550,4422.0,2142.0,4245.0,2209,4665,4665.0,6096,2870.0
19544,94,131.0,45.0,131.0,45,131,131.0,157,66.0
19545,387,543.0,367.0,387.0,376,613,613.0,720,376.0
19547,2518,3541.0,1712.0,3369.0,1765,3617,3617.0,4557,2024.0
19549,204,269.0,134.0,255.0,137,284,284.0,361,157.0
19550,477,528.0,117.0,498.0,117,528,528.0,588,155.0
19551,2720,3709.0,1780.0,3609.0,1835,3802,3802.0,4441,2200.0
19554,285,339.0,216.0,312.0,224,347,347.0,371,248.0
19555,2065,2757.0,1382.0,2715.0,1436,2858,2858.0,3365,1646.0
19559,148,218.0,116.0,217.0,120,225,225.0,291,167.0
19560,5279,7152.0,3808.0,6857.0,3953,7433,7433.0,8993,4686.0
19562,1467,2358.0,1306.0,2314.0,1309,2401,2401.0,2617,1475.0
19564,105,148.0,89.0,125.0,89,148,148.0,148,89.0
19565,4439,6605.0,3406.0,6380.0,3428,6717,6717.0,7923,4099.0
19567,3189,4337.0,2184.0,4098.0,2259,4521,4521.0,5689,2961.0
19601,20436,24875.0,13033.0,23495.0,13502,25898,25898.0,35728,18529.0
19602,10720,12843.0,6290.0,12172.0,6712,13516,13516.0,17568,8800.0
19604,18068,21686.0,11174.0,19658.0,11785,22935,22935.0,31238,16048.0
19605,12039,16277.0,8296.0,15621.0,8600,16863,16863.0,20316,10412.0
19606,21370,27714.0,14606.0,26720.0,15328,29167,29167.0,35707,18971.0
19607,13754,18836.0,9941.0,17738.0,10143,19388,19388.0,23815,12145.0
19608,13769,18312.0,9703.0,17412.0,10091,18991,18991.0,23412,12241.0
19609,6300,8324.0,4248.0,7977.0,4361,8480,8480.0,10756,5424.0
19610,8301,13215.0,7012.0,12225.0,7125,13462,13462.0,15914,8383.0
19611,6318,8349.0,4593.0,8055.0,4682,8498,8498.0,10464,5588.0
