Month,stars
January,3.816101265822785
February,3.779655250623724
March,3.8267343485617595
April,3.8324656885944157
May,3.786371800628648
June,3.790366423833859
July,3.8192626636027573
August,3.8039913060659947
September,3.779626228799827
October,3.7862334330910645
November,3.7815867920201787
December,3.7650676506765066
