ZIP_CODE,Sex and Age - Total population,Sex and Age - Total population - Male,Sex and Age - Total population - Female,Sex and Age - Total population - Sex ratio (males per 100 females),Sex and Age - Total population - Under 5 years,Sex and Age - Total population - 5 to 9 years,Sex and Age - Total population - 10 to 14 years,Sex and Age - Total population - 15 to 19 years,Sex and Age - Total population - 20 to 24 years,Sex and Age - Total population - 25 to 34 years,Sex and Age - Total population - 35 to 44 years,Sex and Age - Total population - 45 to 54 years,Sex and Age - Total population - 55 to 59 years,Sex and Age - Total population - 60 to 64 years,Sex and Age - Total population - 65 to 74 years,Sex and Age - Total population - 75 to 84 years,Sex and Age - Total population - 85 years and over,Sex and Age - Total population - Median age (years),Sex and Age - Total population - Under 18 years,Sex and Age - Total population - 16 years and over,Sex and Age - Total population - 18 years and over,Sex and Age - Total population - 21 years and over,Sex and Age - Total population - 62 years and over,Sex and Age - Total population - 65 years and over,Sex and Age - Total population - 18 years and over.1,Sex and Age - Total population - 18 years and over - Male,Sex and Age - Total population - 18 years and over - Female,Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females),Sex and Age - Total population - 65 years and over.1,Sex and Age - Total population - 65 years and over - Male,Sex and Age - Total population - 65 years and over - Female,Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females),Race - Total population,Race - Total population - One race,Race - Total population - Two or more races,Race - Total population - One race.1,Race - Total population - One race - White,Race - Total population - One race - Black or African American,Race - Total population - One race - American Indian and Alaska Native,Race - Total population - One race - American Indian and Alaska Native - Cherokee tribal grouping,Race - Total population - One race - American Indian and Alaska Native - Chippewa tribal grouping,Race - Total population - One race - American Indian and Alaska Native - Navajo tribal grouping,Race - Total population - One race - American Indian and Alaska Native - Sioux tribal grouping,Race - Total population - One race - Asian,Race - Total population - One race - Asian - Asian Indian,Race - Total population - One race - Asian - Chinese,Race - Total population - One race - Asian - Filipino,Race - Total population - One race - Asian - Japanese,Race - Total population - One race - Asian - Korean,Race - Total population - One race - Asian - Vietnamese,Race - Total population - One race - Asian - Other Asian,Race - Total population - One race - Native Hawaiian and Other Pacific Islander,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Chamorro,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Race - Total population - One race - Some other race,Race - Total population - Two or more races.1,Race - Total population - Two or more races - White and Black or African American,Race - Total population - Two or more races - White and American Indian and Alaska Native,Race - Total population - Two or more races - White and Asian,Race - Total population - Two or more races - Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races - Total population,Race alone or in combination with one or more other races - Total population - White,Race alone or in combination with one or more other races - Total population - Black or African American,Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Race alone or in combination with one or more other races - Total population - Asian,Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races - Total population - Some other race,Hispanic or Latino and Race - Total population,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race),Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Mexican,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Puerto Rican,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Cuban,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Hispanic or Latino and Race - Total population - Not Hispanic or Latino,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - White alone,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Black or African American alone,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Asian alone,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Some other race alone,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",Hispanic or Latino and Race - Total housing units,"Citizen, voting age population - Citizen, 18 and over population","Citizen, voting age population - Citizen, 18 and over population - Male","Citizen, voting age population - Citizen, 18 and over population - Female"
15282,5923,3459,2464,140.4,0,0,0,2061,1711,1072,539,334,121,38,47,0,0,21.5,38,5923,5885,3236,66,47,5885,3449,2436,141.6,47,38,9,422.2,5923,5587,336,5587,3782,1569,29,9.0,0.0,0.0,0.0,170,27,93,0.0,0.0,17,27,6,0.0,0.0,0.0,0.0,0.0,37,336,140,14.0,52.0,50.0,5923,4052,1775,93,231,7.0,101,5923,211,18,95,0.0,98,5712,3678,1548,29.0,170,0.0,7.0,280,26.0,254,0,5768,3412,2356
15290,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0
15301,49802,24378,25424,95.9,2580,2853,2060,3052,3119,5745,5202,6065,3974,4257,5786,3573,1536,45.5,8998,41651,40804,38435,13265,10895,40804,20146,20658,97.5,10895,4730,6165,76.7,49802,48247,1555,48247,44482,2818,4,0.0,4.0,0.0,0.0,599,177,219,25.0,0.0,26,0,152,0.0,0.0,0.0,0.0,0.0,344,1555,828,174.0,82.0,38.0,49802,45939,3795,247,720,15.0,696,49802,1311,589,89,183.0,450,48491,43773,2772,4.0,599,0.0,69.0,1274,104.0,1170,23303,40276,19863,20413
15310,240.0,125.0,115.0,108.7,27.0,17.0,1.0,0.0,0.0,38.0,28.0,22.0,49.0,15.0,27.0,14.0,2.0,47.0,45.0,195.0,195.0,195.0,53.0,43.0,195.0,102.0,93.0,109.7,43.0,25.0,18.0,138.9,240.0,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,195.0,102.0,93.0
15311,1107,524,583,89.9,45,63,21,44,38,139,136,110,75,147,207,75,7,52.8,133,978,974,922,374,289,974,467,507,92.1,289,148,141,105.0,1107,1106,1,1106,1104,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1107,1105,2,1,0,0.0,0,1107,0,0,0,0.0,0,1107,1104,2,0.0,0,0.0,0.0,1,0.0,1,559,974,467,507
15312,3910,1946,1964,99.1,253,212,294,228,201,463,533,436,338,325,426,161,40,40.3,951,3098,2959,2888,798,627,2959,1491,1468,101.6,627,316,311,101.6,3910,3827,83,3827,3795,12,0,0.0,0.0,0.0,0.0,8,0,8,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,12,83,0,35.0,6.0,0.0,3910,3878,12,35,14,13.0,41,3910,53,24,0,0.0,29,3857,3778,12,0.0,8,0.0,0.0,59,5.0,54,1778,2951,1483,1468
15313,382.0,196.0,186.0,105.4,18.0,15.0,23.0,21.0,22.0,42.0,36.0,49.0,32.0,18.0,82.0,13.0,11.0,47.1,72.0,321.0,310.0,296.0,114.0,106.0,310.0,141.0,169.0,83.4,106.0,36.0,70.0,51.4,382.0,381.0,1.0,381.0,376.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,382.0,377.0,1.0,0.0,0.0,0.0,5.0,382.0,0.0,0.0,0.0,0.0,0.0,382.0,376.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,185.0,310.0,141.0,169.0
15314,3354,1583,1771,89.4,307,204,197,160,250,400,314,585,177,203,320,148,89,38.8,816,2587,2538,2438,701,557,2538,1169,1369,85.4,557,198,359,55.2,3354,3238,116,3238,3123,14,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8.0,0.0,0.0,0.0,8.0,93,116,45,6.0,37.0,0.0,3354,3239,60,7,37,8.0,120,3354,78,74,4,0.0,0,3276,3123,14,0.0,0,8.0,19.0,112,23.0,89,1581,2486,1120,1366
15315,695.0,273.0,422.0,64.7,95.0,45.0,37.0,25.0,66.0,91.0,105.0,79.0,48.0,62.0,24.0,18.0,0.0,33.5,194.0,507.0,501.0,466.0,96.0,42.0,501.0,176.0,325.0,54.2,42.0,13.0,29.0,44.8,695.0,695.0,0.0,695.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,695.0,0.0,0.0,0.0,0.0,0.0,695.0,15.0,0.0,0.0,15.0,0.0,680.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,501.0,176.0,325.0
15316,220.0,121.0,99.0,122.2,16.0,29.0,24.0,0.0,6.0,12.0,26.0,34.0,3.0,19.0,45.0,6.0,0.0,43.6,69.0,151.0,151.0,151.0,63.0,51.0,151.0,81.0,70.0,115.7,51.0,28.0,23.0,121.7,220.0,220.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,151.0,81.0,70.0
